[1375893612] cap=400
[1375893623] start
[1375893623] thinktime=3
[1375893623] concurrency=70
[1375893723] concurrency=80
[1375893823] concurrency=90
[1375893923] concurrency=100
[1375894023] concurrency=200
[1375894123] concurrency=300
[1375894223] concurrency=400
[1375894323] concurrency=500
[1375894423] concurrency=600
[1375894523] concurrency=700
[1375894623] concurrency=800
[1375894723] concurrency=900
[1375894823] concurrency=1000
[1375894923] concurrency=1100
[1375895023] concurrency=1200
[1375895123] concurrency=1300
[1375895223] concurrency=1400
[1375895323] concurrency=1500
[1375895423] concurrency=1600
[1375895523] concurrency=1700
[1375895623] concurrency=1800
[1375895723] concurrency=1900
[1375895823] concurrency=2000
[1375895923] concurrency=2050
[1375896023] concurrency=2100
[1375896123] concurrency=2150
[1375896223] concurrency=2200
[1375896323] concurrency=2250
[1375896423] concurrency=2300
[1375896523] concurrency=2350
[1375896623] concurrency=2400
[1375896723] concurrency=2450
[1375896823] concurrency=2500
[1375896923] cap=800
